,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,voici,here is
33,34,pourrais,could
34,35,affaire,case
35,36,donner,give
36,37,type,type
37,38,donné,given
38,39,corps,body
39,40,endroit,place
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,premier,first
45,46,perdu,lost
46,47,main,hand
47,48,côté,side
48,50,vieux,old
49,51,sois,be
50,52,matin,morning
51,53,tellement,so much
52,54,enfant,child
53,55,point,point
54,56,venu,came
55,57,suite,after
56,58,pardon,sorry
57,59,venez,come
58,60,devant,in front of
59,61,vers,towards
60,62,minutes,minutes
61,63,demandé,request
62,64,chambre,bedroom
63,65,mis,placed
64,66,droit,law
65,67,aimerais,would like to
66,68,aujourd'hui,today
67,69,mari,husband
68,70,enfin,finally
69,71,eau,water
70,72,attendez,Wait
71,73,parti,left
72,74,nouvelle,new
73,75,boulot,job
74,76,arrêter,Stop
75,77,dirait,would say
76,78,terre,Earth
77,79,compte,account
78,80,donne,given
79,81,loin,far
80,82,fin,end
81,83,croire,believe
82,84,chérie,sweetheart
83,85,gros,large
84,86,plutôt,rather
85,87,aura,will have
86,88,jouer,to play
87,89,bureau,office
